code,name,input_kind,advertised_purpose,verification
"S01","Strategic Identity Statement","assessment","Defines who your business is and what it stands for — the identity statement your strategy, hiring, and investment decisions should all trace back to, so growth never drifts from the brand you built.","Specific assessment API input/charging asserted"
"S02","Strategic Direction Setter","assessment","Sets your strategic north star — comparing where leadership says the business is heading with where its decisions are actually taking it, so you course-correct before the gap widens.","Registered; advertised duty not independently certified"
"S03","Strategy Consistency Check","assessment","Tests your strategy for internal contradictions — flagging where goals, budgets, and initiatives work against each other before they cancel each other out in execution.","Registered; advertised duty not independently certified"
"S04","Cross-Function Strategy Alignment","assessment","Checks that sales, operations, finance, and HR are executing the same strategy — surfacing the functions pulling in competing directions so you can realign them early.","Registered; advertised duty not independently certified"
"S05","Strategic Execution Cadence","assessment","Sets the rhythm of your strategy reviews and decision cycles — so plans are revisited when the market moves, not just when the annual offsite arrives.","Registered; advertised duty not independently certified"
"S06","Strategy Execution Tracker","assessment","Tracks your strategy from vision to delivery — showing where initiatives stall between the boardroom and the front line, and which bottleneck to clear first.","Registered; advertised duty not independently certified"
"S07","Strategic Cadence Impact Area","assessment","Maps the environment your strategy operates in — the market conditions, constraints, and internal pressures shaping outcomes — so you plan for the field as it is, not as the slide deck assumed.","Registered; advertised duty not independently certified"
"S08","Strategic Momentum Score","assessment","Scores how much momentum your strategy actually has — which initiatives are accelerating, which are meeting resistance, and where pushing harder beats changing course.","Registered; advertised duty not independently certified"
"S09","Strategic Priority Weighting","assessment","Ranks your strategic priorities by weight and urgency — so people stop treating everything as top priority and resources follow what matters most.","Registered; advertised duty not independently certified"
"S10","Strategic Focus Areas","assessment","Identifies the handful of focus areas where your effort compounds — and the initiatives that keep consuming budget without moving the business.","Registered; advertised duty not independently certified"
"S11","Market Trend Response Tracker","assessment","Tracks how fast your organization notices and responds to market shifts — how long a trend takes to reach a decision, and whether the response holds or fades.","Registered; advertised duty not independently certified"
"S12","Long-Term Strategic Outlook","assessment","Projects where your current trajectory takes the business over the long term — showing whether your stated ambition is reachable from where you stand, and what has to change if it isn't.","Registered; advertised duty not independently certified"
"R01","Cadence Mapping","timeseries","Maps your operating rhythm end to end — when decisions get made, when work ships, and how information flows — so timing is designed around market and customer signals rather than habit.","Registered; advertised duty not independently certified"
"R02","Pace of Execution","timeseries","Measures how fast work actually moves through your organization — where pace is building, where it's stalling, and whether your delivery speed matches what you've promised.","Registered; advertised duty not independently certified"
"R03","Cadence Drift Alert","timeseries","Catches your delivery rhythm slipping — a little later each cycle — and flags it before the drift shows up in a missed quarter.","Registered; advertised duty not independently certified"
"R04","Cadence Stability Score","timeseries","Scores how well your operating rhythm holds up under pressure — disruption, volatility, surprise demand — so you know whether one bad week breaks the routine.","Registered; advertised duty not independently certified"
"R05","Workload Balance Monitor","timeseries","Shows where workload is piling onto some teams while others have slack — so you rebalance before overload turns into burnout and attrition.","Registered; advertised duty not independently certified"
"R06","Cross-Team Cadence Fit","timeseries","Checks whether your teams' rhythms work together — where one team's cycle feeds another's queue, and where mismatched timing creates waiting.","Registered; advertised duty not independently certified"
"R07","Cadence Consistency Check","timeseries","Tests whether your organization runs on one coherent rhythm or many conflicting ones — the meeting, reporting, and delivery cycles that create noise when they clash.","Registered; advertised duty not independently certified"
"R08","Cadence Integration","timeseries","Shows how well the rhythms of your departments, systems, and teams knit into one operating cycle — and where the handoffs between them lose days.","Registered; advertised duty not independently certified"
"R09","Strategy-to-Execution Alignment","timeseries","Checks that your operating rhythm serves your strategy — flagging the cadences that keep teams busy but pull effort away from stated priorities.","Registered; advertised duty not independently certified"
"R10","Multi-Team Cadence Sync","timeseries","Measures how close your teams are to a shared rhythm — which are converging on the same beat, and which are drifting apart.","Registered; advertised duty not independently certified"
"R11","Real-Time Cadence Sync","timeseries","Measures how precisely your teams and systems are synchronised right now — the lag between them, and how long alignment lasts once achieved.","Registered; advertised duty not independently certified"
"R12","Operational Flow Tracker","timeseries","Tracks whether work moves through your operation without interruption — surfacing the pauses, handoffs, and rework loops that break flow.","Registered; advertised duty not independently certified"
"R13","Team Cadence Engagement Score","timeseries","Scores how well your people's working rhythm matches the pace of your markets and culture — where the beat energises teams, and where it grinds them down.","Registered; advertised duty not independently certified"
"R14","Real-Time Cadence Pulse","timeseries","Monitors the heartbeat of your operation as it happens — the recurring delivery and decision cycles whose strength tells you the organisation's health, energy, and momentum.","Registered; advertised duty not independently certified"
"R15","Organisational Cadence Profile","timeseries","Profiles your organization's distinctive working rhythm — the timing fingerprint that sets it apart — so you protect what makes it fast and fix what makes it late.","Registered; advertised duty not independently certified"
"R16","Cadence Pattern Report","timeseries","Reports the timing patterns your organization actually runs on — its true operating rhythm versus the schedule on paper.","Registered; advertised duty not independently certified"
"R17","Core Cadence Drivers","timeseries","Identifies what actually sets your organization's pace — the constraint, the person, or the process everything else waits on.","Registered; advertised duty not independently certified"
"R18","Cultural Cadence Fit","timeseries","Measures how well your operating rhythm fits your people and culture — where the pace is sustainable, and where it clashes with how your teams genuinely work.","Registered; advertised duty not independently certified"
"R19","Cadence Impact Area","timeseries","Maps where your operating rhythm touches results — which timing choices move revenue, delivery, and morale, and which are just calendar habit.","Registered; advertised duty not independently certified"
"R20","Department Cadence View","timeseries","Shows one department's rhythm in full — its cycles, its bottlenecks, and its fit with the teams upstream and downstream of it.","Registered; advertised duty not independently certified"
"R21","Business Unit Cadence View","timeseries","Rolls cadence up to business-unit level — comparing rhythm and reliability across units so you see which operating models to copy.","Registered; advertised duty not independently certified"
"R22","Enterprise-Wide Cadence View","timeseries","Puts the whole organization's rhythm on one screen — every unit's pace, drift, and sync — so leadership sees timing problems before they compound.","Registered; advertised duty not independently certified"
"R23","Long-Term Cadence Trends","timeseries","Tracks how your operating rhythm changes across quarters and years — speeding up, slowing down, or quietly eroding.","Registered; advertised duty not independently certified"
"R24","Historical Cadence Tracking","timeseries","Keeps the history of your rhythm — so you can date exactly when delivery started slipping, and connect it to what changed.","Registered; advertised duty not independently certified"
"R25","Root Cause of Cadence Issues","timeseries","Traces a broken rhythm to its root cause — the dependency, decision bottleneck, or overload behind the slippage, rather than the team it happens to show up in.","Registered; advertised duty not independently certified"
"R26","Cadence Data Sources","timeseries","Audits where your timing data comes from and how much to trust it — so cadence decisions rest on real signals, not anecdote.","Registered; advertised duty not independently certified"
"R27","Peak Performance Cadence","timeseries","Finds the rhythm your organization performs best at — the pace that maximises output without tipping teams into overload — and shows how far you are from it.","Registered; advertised duty not independently certified"
"R28","Cadence Governance Console","timeseries","Puts your operating rhythm under management — who owns each cycle, what its standard is, and what happens when it breaks.","Registered; advertised duty not independently certified"
"R29","Executive Cadence Report","timeseries","The executive summary of your organization's rhythm — pace, drift, and risk in the few numbers a leadership meeting actually needs.","Registered; advertised duty not independently certified"
"R30","Enterprise Cadence Overview","timeseries","The complete picture of your enterprise timing — how every rhythm rolls up, where the organisation beats in sync, and where it fights itself.","Registered; advertised duty not independently certified"
"C02","Workflow Intelligence","assessment","Scores how well work actually moves through your organisation — handoffs, bottlenecks, and where process breaks down under real load.","Registered; advertised duty not independently certified"
"C03","Core Diagnostic","assessment","The single-score read on CORE as a whole — decision quality, execution cadence and governance posture combined into one number before you go deep on any one of them.","Registered; advertised duty not independently certified"
"C04","Transformation Console","assessment","Rolls transformation pace and stability up into one executive read — is change actually landing, or just being announced.","Registered; advertised duty not independently certified"
"C05","Operating Rhythm Console","assessment","The executive view of delivery tempo across every team — where cadence holds, where it is drifting, and what that is costing.","Registered; advertised duty not independently certified"
"C06","Operating Model Blueprint","roadmap","Assesses how well your operating model — structure, decision rights, delivery rhythm — actually fits the strategy it is meant to carry.","Registered; advertised duty not independently certified"
"C07","Strategic Alignment Console","assessment","Checks whether strategy, priorities and the work actually being done are still the same thing, or have quietly diverged.","Registered; advertised duty not independently certified"
"C08","Change Management Console","assessment","Scores the health of a change programme itself — sponsorship, adoption, resistance and sustainment — separately from whether the change was the right call.","Registered; advertised duty not independently certified"
"C09","Executive Console","assessment","One board-level score combining decision quality, delivery confidence, risk exposure and governance assurance — the number a director asks for before the detail.","Registered; advertised duty not independently certified"
"Q01","Decision Landscape Mapping","assessment","Maps every significant decision in play across your organization — who owns each, what it blocks, and which ones actually deserve executive attention.","Registered; advertised duty not independently certified"
"Q02","Current Decision Status","assessment","Shows the live status of your decisions in progress — what's decided, what's stuck, and what's waiting on whom.","Registered; advertised duty not independently certified"
"Q03","Decision Path Simulator","scenario-decision","Simulates the paths a decision could take — playing your options forward so you see the second-order effects before committing.","Registered; advertised duty not independently certified"
"Q04","Outcome Probability","assessment","Puts probabilities on outcomes — so your options are compared on likelihood-weighted value, not on whoever argued loudest.","Registered; advertised duty not independently certified"
"Q05","Decision Timing Diagnostic","scenario","Diagnoses whether now is the right time to decide — weighing the cost of deciding early against the cost of waiting.","Registered; advertised duty not independently certified"
