tool_id,domain,capability,engine,epic,phase,tier,visibility
T-001,Decision & Diagnostics,Business Health Check,Clarity,CL-02,P3,Foundation,User-facing
T-002,Decision & Diagnostics,Project Health Check,Clarity,CL-02,P5/P6,Expansion,User-facing
T-003,Decision & Diagnostics,Organizational Diagnostic,Clarity,CL-02,P5/P6,Expansion,User-facing
T-004,Decision & Diagnostics,Digital Readiness Assessment,Clarity,CL-02,P5/P6,Expansion,User-facing
T-005,Decision & Diagnostics,Modernization Readiness Assessment,Clarity,CL-02,P5/P6,Expansion,User-facing
T-006,Decision & Diagnostics,Talent Diagnostic,Clarity,CL-02,P5/P6,Expansion,User-facing
T-007,Decision & Diagnostics,Root Cause Analyzer,Clarity,CL-02,P3,Foundation,User-facing
T-008,Decision & Diagnostics,Gap Analyzer,Clarity,CL-02,P5/P6,Expansion,User-facing
T-009,Decision & Diagnostics,Constraint Analyzer,Clarity,CL-02,P5/P6,Expansion,User-facing
T-010,Decision & Diagnostics,Dependency Mapper,Clarity,CL-02,P5/P6,Expansion,User-facing
T-011,Decision & Diagnostics,Decision Landscape Mapper,Clarity,CL-03,P5/P6,Expansion,User-facing
T-012,Decision & Diagnostics,Decision Status Analyzer,Clarity,CL-03,P5/P6,Expansion,User-facing
T-013,Decision & Diagnostics,Decision Path Simulator,Clarity,CL-03,P3,Foundation,User-facing
T-014,Decision & Diagnostics,Outcome Probability Analyzer,Clarity,CL-04,P5/P6,Expansion,User-facing
T-015,Decision & Diagnostics,Decision Timing Optimizer,Clarity,CL-04,P5/P6,Expansion,User-facing
T-016,Decision & Diagnostics,Conflicting Priorities Detector,Clarity,CL-06,P5/P6,Expansion,User-facing
T-017,Decision & Diagnostics,Decision Consistency Check,Clarity,CL-03,P5/P6,Expansion,User-facing
T-018,Decision & Diagnostics,Option Selection Assistant,Clarity,CL-06,P5/P6,Expansion,User-facing
T-019,Decision & Diagnostics,Multi-Factor Decision Analyzer,Clarity,CL-03,P5/P6,Expansion,User-facing
T-020,Decision & Diagnostics,Decision Framework Builder,Clarity,CL-03,P5/P6,Expansion,User-facing
T-021,Decision & Diagnostics,Scenario Explorer,Clarity,CL-04,P5/P6,Expansion,User-facing
T-022,Decision & Diagnostics,Scenario Reality Check,Clarity,CL-04,P5/P6,Expansion,User-facing
T-023,Decision & Diagnostics,Scenario Planner,Clarity,CL-04,P3,Foundation,User-facing
T-024,Decision & Diagnostics,Strategic Identity Builder,Clarity,CL-05,P5/P6,Expansion,User-facing
T-025,Decision & Diagnostics,Strategic Direction Setter,Clarity,CL-05,P5/P6,Expansion,User-facing
T-026,Decision & Diagnostics,Strategic Priority Analyzer,Clarity,CL-05,P5/P6,Expansion,User-facing
T-027,Decision & Diagnostics,Cross-Function Strategy Alignment,Clarity,CL-05,P5/P6,Expansion,User-facing
T-028,Decision & Diagnostics,Data Source Validator,Clarity,CL-06,P5/P6,Expansion,User-facing
T-029,Decision & Diagnostics,Evidence Analyzer,Clarity,CL-06,P5/P6,Expansion,User-facing
T-030,Decision & Diagnostics,Early Warning Signal Monitor,Clarity,CL-06,P5/P6,Expansion,User-facing
T-031,Decision & Diagnostics,Stakeholder Alignment Analyzer,Clarity,CL-06,P5/P6,Expansion,User-facing
T-032,Decision & Diagnostics,Risk Assessment,Clarity,CL-06,P3,Foundation,User-facing
T-033,Decision & Diagnostics,Opportunity Analyzer,Clarity,CL-06,P3,Foundation,User-facing
T-034,Planning / Commercial / Talent / Creation,Strategy Builder,Capability,CP-02,P5/P6,Expansion,User-facing
T-035,Planning / Commercial / Talent / Creation,Business Plan Builder,Capability,CP-02,P5/P6,Expansion,User-facing
T-036,Planning / Commercial / Talent / Creation,Transformation Planner,Capability,CP-02,P5/P6,Expansion,User-facing
T-037,Planning / Commercial / Talent / Creation,Enterprise Blueprint Generator,Capability,CP-02,P5/P6,Expansion,User-facing
T-038,Planning / Commercial / Talent / Creation,Project Plan Builder,Capability,CP-02,P3,Foundation,User-facing
T-039,Planning / Commercial / Talent / Creation,Roadmap Builder,Capability,CP-02,P5/P6,Expansion,User-facing
T-040,Planning / Commercial / Talent / Creation,Milestone Generator,Capability,CP-02,P5/P6,Expansion,User-facing
T-041,Planning / Commercial / Talent / Creation,Timeline Builder,Capability,CP-02,P5/P6,Expansion,User-facing
T-042,Planning / Commercial / Talent / Creation,Resource Planner,Capability,CP-02,P5/P6,Expansion,User-facing
T-043,Planning / Commercial / Talent / Creation,Capacity Planner,Capability,CP-02,P5/P6,Expansion,User-facing
T-044,Planning / Commercial / Talent / Creation,Proposal Drafter,Capability,CP-03,P3,Foundation,User-facing
T-045,Planning / Commercial / Talent / Creation,Scope of Work Builder,Capability,CP-03,P5/P6,Expansion,User-facing
T-046,Planning / Commercial / Talent / Creation,Statement of Work Builder,Capability,CP-03,P5/P6,Expansion,User-facing
T-047,Planning / Commercial / Talent / Creation,Client Brief Builder,Capability,CP-03,P5/P6,Expansion,User-facing
T-048,Planning / Commercial / Talent / Creation,Deliverable Builder,Capability,CP-03,P5/P6,Expansion,User-facing
T-049,Planning / Commercial / Talent / Creation,Acceptance Criteria Builder,Capability,CP-03,P5/P6,Expansion,User-facing
T-050,Planning / Commercial / Talent / Creation,Quote Generator,Capability,CP-03,P5/P6,Expansion,User-facing
T-051,Planning / Commercial / Talent / Creation,Estimate Generator,Capability,CP-03,P5/P6,Expansion,User-facing
T-052,Planning / Commercial / Talent / Creation,Budget Estimator,Capability,CP-04,P3,Foundation,User-facing
T-053,Planning / Commercial / Talent / Creation,Pricing Builder,Capability,CP-04,P5/P6,Expansion,User-facing
T-054,Planning / Commercial / Talent / Creation,Invoice Generator,Capability,CP-04,P3,Foundation,User-facing
T-055,Planning / Commercial / Talent / Creation,Contract Builder,Capability,CP-04,P3,Foundation,User-facing
T-056,Planning / Commercial / Talent / Creation,Payment Schedule Builder,Capability,CP-04,P5/P6,Expansion,User-facing
