Page,Page name,Route,Source hero,Current hero,Status,Source slides,Direct standard-renderer paragraphs,Source prose paragraphs,Representation / gap,Implementation file
1,HOME,/,The Continuous Human-AI Growth Operating System,Think clearly. Move with purpose. Grow as one.,Custom / rewritten,13,0,99,"Rewritten landing page: operating-cycle cards, guided-workspace preview, audience cards, trust statement, FAQ and closing CTA. The canonical category is reduced to an eyebrow; the canonical subhero and three progression lanes are not reproduced in full.",src/pages/Marketing.tsx
2,PRODUCT OVERVIEW,/product,One Continuous Operating System. Built Around Your Context.,One Continuous Operating System. Built Around Your Context.,Extracted / shortened,9,26,28,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
3,LAMID ONE COMPANION,/product/companion,Work With the Situation in Front of You.,Work With the Situation in Front of You.,Extracted / shortened,7,18,22,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
4,ADAPTIVE PRODUCT EXPERIENCE,/product/experience,The Same OS. Shaped Around Different Work.,The Same OS. Shaped Around Different Work.,Extracted / shortened,7,14,14,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
5,CONTEXTUAL INTELLIGENCE,/product/intelligence,The Right Intelligence for the Decision.,The Right Intelligence for the Decision.,Extracted / shortened,7,20,22,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
6,WORKFLOWS & EXECUTION,/product/workflows,Move From Insight to Execution.,Move From Insight to Execution.,Availability placeholder,8,1,29,"Keeps the source hero title (except Pricing), but replaces its description and every source section with generic development-edition availability copy.",src/pages/ContentPage.tsx
7,ORGANIZATIONS,/product/organizations,From Individual Clarity to Organizational Coherence.,From Individual Clarity to Organizational Coherence.,Extracted / shortened,7,14,14,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
8,HOW IT WORKS,/how-it-works,A Simple Operating Cycle for More Complex Work.,A Simple Operating Cycle for More Complex Work.,Extracted / shortened,9,18,19,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
9,CLARITY,/how-it-works/clarity,See the Situation More Clearly.,See the Situation More Clearly.,Extracted / shortened,7,14,14,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
10,CAPABILITY,/how-it-works/capability,Know What the Next Step Requires.,Know What the Next Step Requires.,Extracted / shortened,7,17,23,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
11,CONSISTENCY,/how-it-works/consistency,Turn Good Decisions Into Reliable Progress.,Turn Good Decisions Into Reliable Progress.,Extracted / shortened,7,14,14,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
12,GROWTH,/how-it-works/growth,Growth Is the Outcome.,Growth Is the Outcome.,Extracted / shortened,6,12,12,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
13,OPERATING RHYTHM,/how-it-works/rhythm,"Make Progress a Rhythm, Not an Event.","Make Progress a Rhythm, Not an Event.",Extracted / shortened,7,14,14,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
14,WHO IT'S FOR,/who-its-for,One OS. Different Contexts.,One OS. Different Contexts.,Extracted / shortened,10,18,20,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
15,INDIVIDUALS,/who-its-for/individuals,More Clarity for What Matters to You.,More Clarity for What Matters to You.,Extracted / shortened,6,12,12,"Shared editorial template displays the stored title, description and up to eight sections, each with at most three body paragraphs. Original CTAs are replaced with generic onboarding links.",src/pages/ContentPage.tsx
