Page,Route,Slide / section,Source paragraph,Source heading,Source body,Source CTA / links,Treatment,Current representation,Not reproduced verbatim by standard renderer,Stored in pages.json,Implementation file
1,/,HERO,162,The Continuous Human-AI Growth Operating System,"Continuous intelligence that keeps progress moving - within the boundaries you set.
Think clearly. Build capability. Make consistent progress.
Progress can continue in three distinct ways: permitted context can update; intelligence can reassess what those changes mean; and already-authorized work can continue within its defined scope. When you return, see what changed, what improved, what moved forward, what became more important, what assumption changed, what opportunity appeared, and what needs your judgment next.
Progress keeps moving. Control stays with you.",CTA: Experience LAMID ONE | See How It Works,Custom UI; no one-to-one slide,"Think clearly. Move with purpose. Grow as one. — Rewritten landing page: operating-cycle cards, guided-workspace preview, audience cards, trust statement, FAQ and closing CTA. The canonical category is reduced to an eyebrow; the canonical subhero and three progression lanes are not reproduced in full.","The Continuous Human-AI Growth Operating System
Continuous intelligence that keeps progress moving - within the boundaries you set.
Think clearly. Build capability. Make consistent progress.
Progress can continue in three distinct ways: permitted context can update; intelligence can reassess what those changes mean; and already-authorized work can continue within its defined scope. When you return, see what changed, what improved, what moved forward, what became more important, what assumption changed, what opportunity appeared, and what needs your judgment next.
Progress keeps moving. Control stays with you.",Yes,src/pages/Marketing.tsx
1,/,SECTION 2,169,A Clearer Way to Move Forward,"Progress compounds when each cycle carries forward what changed, what improved, and what the next step now requires.
Clarity - Understand what matters. See priorities, patterns, assumptions, and constraints clearly.
Capability - Strengthen how you move forward. Build or access the knowledge, resources, methods, people, and support the next step requires.
Consistency - Keep important work moving. Turn decisions into action, establish a workable rhythm, and adapt when conditions change.
Growth - Let progress compound. Clearer decisions, stronger capability, consistent execution, and an evolving operating context create growth over time.
Clarity -> Capability -> Consistency. Growth is the outcome.
Each completed cycle updates the operating context for the next. Growth is cumulative, not a separate module.",,Custom UI; no one-to-one slide,"Rewritten landing page: operating-cycle cards, guided-workspace preview, audience cards, trust statement, FAQ and closing CTA. The canonical category is reduced to an eyebrow; the canonical subhero and three progression lanes are not reproduced in full.","A Clearer Way to Move Forward
Progress compounds when each cycle carries forward what changed, what improved, and what the next step now requires.
Clarity - Understand what matters. See priorities, patterns, assumptions, and constraints clearly.
Capability - Strengthen how you move forward. Build or access the knowledge, resources, methods, people, and support the next step requires.
Consistency - Keep important work moving. Turn decisions into action, establish a workable rhythm, and adapt when conditions change.
Growth - Let progress compound. Clearer decisions, stronger capability, consistent execution, and an evolving operating context create growth over time.
Clarity -> Capability -> Consistency. Growth is the outcome.
Each completed cycle updates the operating context for the next. Growth is cumulative, not a separate module.",Yes,src/pages/Marketing.tsx
1,/,SECTION 3,178,Start With What You're Trying to Achieve,"A decision. An opportunity. A challenge. A plan.
The LAMID ONE Companion works from your current and carried-forward context, brings forward what matters now, and guides the next step.
Understand the situation - Bring relevant context, priorities, assumptions, and constraints into view.
Explore the direction - Compare options, implications, and what each path requires.
Move forward - Turn understanding into a decision, capability plan, or next action.
Stay in control - Review the reasoning, change the direction, explore further, or decide what happens next.
When you return, the Companion shows the return state: what changed, what improved, what moved forward, what became more important, what assumption changed, what opportunity appeared, and what needs your judgment next. You can continue, redirect, pause, revoke, or override what comes next. The OS handles the complexity underneath without expanding its own authority.",CTA: Explore the Companion,Custom UI; no one-to-one slide,"Rewritten landing page: operating-cycle cards, guided-workspace preview, audience cards, trust statement, FAQ and closing CTA. The canonical category is reduced to an eyebrow; the canonical subhero and three progression lanes are not reproduced in full.","Start With What You're Trying to Achieve
A decision. An opportunity. A challenge. A plan.
The LAMID ONE Companion works from your current and carried-forward context, brings forward what matters now, and guides the next step.
Understand the situation - Bring relevant context, priorities, assumptions, and constraints into view.
Explore the direction - Compare options, implications, and what each path requires.
Move forward - Turn understanding into a decision, capability plan, or next action.
Stay in control - Review the reasoning, change the direction, explore further, or decide what happens next.
When you return, the Companion shows the return state: what changed, what improved, what moved forward, what became more important, what assumption changed, what opportunity appeared, and what needs your judgment next. You can continue, redirect, pause, revoke, or override what comes next. The OS handles the complexity underneath without expanding its own authority.",Yes,src/pages/Marketing.tsx
1,/,SECTION 4,188,One Operating System. Different Contexts.,"Your needs change with your work, responsibility, and scale. LAMID ONE adapts accordingly.
Individual - Find clarity and make consistent progress.
Professional - Strengthen decisions, capability, and execution.
Creator - Turn ideas into clearer direction and opportunity.
Founder - Make stronger business, financial, and growth decisions.
Team - Build shared clarity and coordinated execution.
SME - Strengthen operations without adding fragmentation.
Enterprise - Connect people, systems, decisions, and governance.
Institution - Strengthen capability, continuity, and responsible decision-making.",,Custom UI; no one-to-one slide,"Rewritten landing page: operating-cycle cards, guided-workspace preview, audience cards, trust statement, FAQ and closing CTA. The canonical category is reduced to an eyebrow; the canonical subhero and three progression lanes are not reproduced in full.","One Operating System. Different Contexts.
Your needs change with your work, responsibility, and scale. LAMID ONE adapts accordingly.
Individual - Find clarity and make consistent progress.
Professional - Strengthen decisions, capability, and execution.
Creator - Turn ideas into clearer direction and opportunity.
Founder - Make stronger business, financial, and growth decisions.
Team - Build shared clarity and coordinated execution.
SME - Strengthen operations without adding fragmentation.
Enterprise - Connect people, systems, decisions, and governance.
Institution - Strengthen capability, continuity, and responsible decision-making.",Yes,src/pages/Marketing.tsx
1,/,SECTION 5,199,The Right Depth for Your Context,"The experience starts with what is useful now. As your work and responsibility grow, deeper capability appears without forcing you into another product.
Personal - Today, Clarity, Capability, Consistency, Progress, Companion.
Founder - Today, Business, Finance, Opportunities, People, Workflows.
Team - Priorities, People, Workflows, Rhythm, Shared Insights.
Enterprise - Organization, Analytics, People, Workflows, Governance, Integrations.
Your context changes what you see - not which product you use.",CTA: See the OS in Action,Custom UI; no one-to-one slide,"Rewritten landing page: operating-cycle cards, guided-workspace preview, audience cards, trust statement, FAQ and closing CTA. The canonical category is reduced to an eyebrow; the canonical subhero and three progression lanes are not reproduced in full.","The Right Depth for Your Context
The experience starts with what is useful now. As your work and responsibility grow, deeper capability appears without forcing you into another product.
Personal - Today, Clarity, Capability, Consistency, Progress, Companion.
Founder - Today, Business, Finance, Opportunities, People, Workflows.
Team - Priorities, People, Workflows, Rhythm, Shared Insights.
Enterprise - Organization, Analytics, People, Workflows, Governance, Integrations.
Your context changes what you see - not which product you use.",Yes,src/pages/Marketing.tsx
1,/,SECTION 6,208,Work Toward the Outcome,"Complex objectives rarely depend on one kind of information. LAMID ONE brings together the perspectives your objective requires while keeping the experience coherent.
Choose your next professional move - Compare the opportunity against your current capability, priorities, timing, and development requirements. Opportunity + Diagnostic + People.
Turn an idea into a viable direction - Understand the opportunity, capability requirements, commercial implications, and next steps before committing more time or resources. Opportunity + Financial + Diagnostic.
Plan the next stage of the business - Assess financial capacity, people requirements, opportunity, and execution demand together. Financial + People + Opportunity + Workflow.
Strengthen organizational alignment - Connect priorities, capability, responsibilities, dependencies, workflows, and governance across teams. Organizational + People + Workflow.
You work on the outcome. LAMID ONE brings the relevant depth together.",,Custom UI; no one-to-one slide,"Rewritten landing page: operating-cycle cards, guided-workspace preview, audience cards, trust statement, FAQ and closing CTA. The canonical category is reduced to an eyebrow; the canonical subhero and three progression lanes are not reproduced in full.","Work Toward the Outcome
Complex objectives rarely depend on one kind of information. LAMID ONE brings together the perspectives your objective requires while keeping the experience coherent.
Choose your next professional move - Compare the opportunity against your current capability, priorities, timing, and development requirements. Opportunity + Diagnostic + People.
Turn an idea into a viable direction - Understand the opportunity, capability requirements, commercial implications, and next steps before committing more time or resources. Opportunity + Financial + Diagnostic.
Plan the next stage of the business - Assess financial capacity, people requirements, opportunity, and execution demand together. Financial + People + Opportunity + Workflow.
Strengthen organizational alignment - Connect priorities, capability, responsibilities, dependencies, workflows, and governance across teams. Organizational + People + Workflow.
You work on the outcome. LAMID ONE brings the relevant depth together.",Yes,src/pages/Marketing.tsx
1,/,SECTION - CONTINUOUS INTELLIGENCE,216,Intelligence That Stays Current With the Work,"Continuous Intelligence supports the operating cycle by keeping permitted context and analysis current as relevant signals, connected systems, workflows, events, and outcomes change.
Sense - Capture permitted signals and material change.
Understand - Reassess what the change means in context.
Recommend - Bring forward relevant options, implications, and uncertainty.
Act - Progress only within the authority already granted; pause where approval is required.
Observe - Compare what happened with the intended outcome.
Learn - Carry useful context and evidence into the next cycle.
This intelligence loop supports Clarity -> Capability -> Consistency. It does not replace the user-facing operating model, and it does not create new authority.",,Custom UI; no one-to-one slide,"Rewritten landing page: operating-cycle cards, guided-workspace preview, audience cards, trust statement, FAQ and closing CTA. The canonical category is reduced to an eyebrow; the canonical subhero and three progression lanes are not reproduced in full.","Intelligence That Stays Current With the Work
Continuous Intelligence supports the operating cycle by keeping permitted context and analysis current as relevant signals, connected systems, workflows, events, and outcomes change.
Sense - Capture permitted signals and material change.
Understand - Reassess what the change means in context.
Recommend - Bring forward relevant options, implications, and uncertainty.
Act - Progress only within the authority already granted; pause where approval is required.
Observe - Compare what happened with the intended outcome.
Learn - Carry useful context and evidence into the next cycle.
This intelligence loop supports Clarity -> Capability -> Consistency. It does not replace the user-facing operating model, and it does not create new authority.",Yes,src/pages/Marketing.tsx
1,/,SECTION 7,226,Turn Progress Into a Rhythm,"A strong decision matters more when it becomes part of how you work. LAMID ONE connects immediate action with recurring review while permitted context, intelligence, and already-authorized work can continue progressing between interactions.
Today - Focus on what matters now. Clarify the priority, understand what the next step requires, and move it forward.
This Week - Review and realign. See what moved, what stalled, what changed since your last review, and what deserves attention next.
This Month - Recognize the pattern. Understand what is improving, what keeps recurring, what new conditions emerged, and where capability needs to change.
Across Your Organization - Create shared operating rhythm. Connect priorities, capability, execution, and review across teams.",,Custom UI; no one-to-one slide,"Rewritten landing page: operating-cycle cards, guided-workspace preview, audience cards, trust statement, FAQ and closing CTA. The canonical category is reduced to an eyebrow; the canonical subhero and three progression lanes are not reproduced in full.","Turn Progress Into a Rhythm
A strong decision matters more when it becomes part of how you work. LAMID ONE connects immediate action with recurring review while permitted context, intelligence, and already-authorized work can continue progressing between interactions.
Today - Focus on what matters now. Clarify the priority, understand what the next step requires, and move it forward.
This Week - Review and realign. See what moved, what stalled, what changed since your last review, and what deserves attention next.
This Month - Recognize the pattern. Understand what is improving, what keeps recurring, what new conditions emerged, and where capability needs to change.
Across Your Organization - Create shared operating rhythm. Connect priorities, capability, execution, and review across teams.",Yes,src/pages/Marketing.tsx
1,/,SECTION 8,233,Human Judgment Leads,"Persistent progression should strengthen your ability to move forward - not silently transfer authority away from you.
See what progressed and why - Understand the relevant context, source, permission, assumptions, freshness, and uncertainty where applicable.
Decide what happens next - Continue, change, reject, redirect, pause, or override the next step before consequential action.
Control the boundaries - Manage the information, connected sources, update permissions, and authorized work available to LAMID ONE where those controls apply.
Keep consequential authority human - Context, intelligence, and authorized work may progress between interactions, but material decisions and irreversible actions remain subject to appropriate human review unless explicitly delegated within defined policy.
Persistent Progression. Permissioned by Design. Human Controlled.
Permission is not surrender of control. Permissions remain scoped, revocable, traceable, and non-expanding. You can review, redirect, override, pause, or revoke progression, and reverse it where the action is technically reversible.",Link: Responsible AI,Custom UI; no one-to-one slide,"Rewritten landing page: operating-cycle cards, guided-workspace preview, audience cards, trust statement, FAQ and closing CTA. The canonical category is reduced to an eyebrow; the canonical subhero and three progression lanes are not reproduced in full.","Human Judgment Leads
Persistent progression should strengthen your ability to move forward - not silently transfer authority away from you.
See what progressed and why - Understand the relevant context, source, permission, assumptions, freshness, and uncertainty where applicable.
Decide what happens next - Continue, change, reject, redirect, pause, or override the next step before consequential action.
Control the boundaries - Manage the information, connected sources, update permissions, and authorized work available to LAMID ONE where those controls apply.
Keep consequential authority human - Context, intelligence, and authorized work may progress between interactions, but material decisions and irreversible actions remain subject to appropriate human review unless explicitly delegated within defined policy.
Persistent Progression. Permissioned by Design. Human Controlled.
Permission is not surrender of control. Permissions remain scoped, revocable, traceable, and non-expanding. You can review, redirect, override, pause, or revoke progression, and reverse it where the action is technically reversible.",Yes,src/pages/Marketing.tsx
1,/,SECTION 9,243,Start Where You Are. Expand When You Need To.,"Personal -> Team -> Business -> Organization -> Institution
Start with the context you need now. Add collaboration, operational depth, intelligence, governance, and organizational capability as responsibility grows, while preserving a coherent operating history across time.
The context expands. The operating system remains coherent.
As more people, workflows, and systems contribute context, permissions, provenance, freshness, and governance scale with them.",,Custom UI; no one-to-one slide,"Rewritten landing page: operating-cycle cards, guided-workspace preview, audience cards, trust statement, FAQ and closing CTA. The canonical category is reduced to an eyebrow; the canonical subhero and three progression lanes are not reproduced in full.","Start Where You Are. Expand When You Need To.
Personal -> Team -> Business -> Organization -> Institution
Start with the context you need now. Add collaboration, operational depth, intelligence, governance, and organizational capability as responsibility grows, while preserving a coherent operating history across time.
The context expands. The operating system remains coherent.
As more people, workflows, and systems contribute context, permissions, provenance, freshness, and governance scale with them.",No,src/pages/Marketing.tsx
